,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,margin,margin_difference
7248,West Bengal,Arambagh,APARUPA PODDAR (AFRIN ALI),FEMALE,33.0,SC,AITC,649613,316,649929,1764726,0,
5171,Tamil Nadu,Arani,VISHNU PRASAD M K,MALE,46.0,GENERAL,INC,613390,4370,617760,1449150,0,
661,Bihar,Araria,PRADEEP KUMAR SINGH,MALE,52.0,GENERAL,BJP,618004,430,618434,1805439,0,
1052,Bihar,Arrah,R. K. Singh,MALE,66.0,GENERAL,BJP,560106,6374,566480,2089353,0,
2,Andhra Pradesh,Aruku ,GODDETI. MADHAVI,FEMALE,26.0,ST,YSRCP,557561,4629,562190,1451418,0,174843.0
7365,West Bengal,Asansol,BABUL SUPRIYO,MALE,48.0,GENERAL,BJP,632727,651,633378,1615865,0,
4311,Odisha,Aska,Pramila Bisoyi,FEMALE,70.0,GENERAL,BJD,552364,385,552749,1541145,0,
2676,Kerala,Attingal,Adv. ADOOR PRAKASH,MALE,63.0,GENERAL,INC,379469,1526,380995,1350710,0,
3511,Maharashtra,Aurangabad,Imtiaz Jaleel Syed,MALE,50.0,GENERAL,AIMIM,388784,258,389042,1886284,0,
388,Assam,Autonomous District,HOREN SING BEY,MALE,49.0,ST,BJP,380183,1133,381316,795945,0,70875.0
6697,Uttar Pradesh,Azamgarh,Akhilesh Yadav,MALE,45.0,GENERAL,SP,619594,1984,621578,1789168,0,
2975,Madhya Pradesh,BALAGHAT,DR DHAL SINGH BISEN,MALE,66.0,GENERAL,BJP,692859,3243,696102,1767725,0,
7553,Chhattisgarh,BASTAR,DEEPAK BAIJ,MALE,38.0,ST,INC,401539,988,402527,1379122,0,
3172,Madhya Pradesh,BETUL,DURGA DAS (D.D.) UIKEY,MALE,55.0,ST,BJP,810237,1011,811248,1737437,0,
4732,Rajasthan,BHARATPUR,RANJEETA KOLI,FEMALE,39.0,SC,BJP,701293,6699,707992,1943794,0,
2742,Madhya Pradesh,BHIND,SANDHYA RAY,FEMALE,45.0,SC,BJP,522990,4704,527694,1765334,0,
3039,Madhya Pradesh,BHOPAL,SADHVI PRAGYA SINGH THAKUR,FEMALE,49.0,GENERAL,BJP,865212,1270,866482,2142861,0,
7450,Chhattisgarh,BILASPUR,ARUN SAO,MALE,51.0,GENERAL,BJP,633268,1291,634559,1876953,0,
6099,Uttar Pradesh,Badaun,Dr. Sanghmitra Maurya,FEMALE,34.0,GENERAL,BJP,510343,1009,511352,1891576,0,
2031,Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,MALE,68.0,GENERAL,BJP,661662,2976,664638,1704010,0,
5948,Uttar Pradesh,Baghpat,Dr. SATYAPAL SINGH,MALE,63.0,GENERAL,BJP,519631,6158,525789,1616476,0,
7004,West Bengal,Baharampur,ADHIR RANJAN CHOWDHURY,MALE,63.0,GENERAL,INC,589580,1526,591106,1638378,0,
6541,Uttar Pradesh,Bahraich,AKSHAIBAR LAL,MALE,73.0,SC,BJP,525512,470,525982,1729908,0,
4187,Odisha,Balasore,PRATAP CHANDRA SARANGI,MALE,64.0,GENERAL,BJP,481438,2420,483858,1531781,0,
6745,Uttar Pradesh,Ballia,Virendra Singh,MALE,62.0,GENERAL,BJP,464039,5075,469114,1822625,0,
6954,West Bengal,Balurghat,Sukanta Majumdar,MALE,39.0,GENERAL,BJP,537577,1740,539317,1431704,0,
1210,Gujarat,Banaskantha,PARBATBHAI SAVABHAI PATEL,MALE,70.0,GENERAL,BJP,675650,3458,679108,1697384,0,
6441,Uttar Pradesh,Banda,R.K. SINGH PATEL,MALE,59.0,GENERAL,BJP,477100,826,477926,1702024,0,
2356,Karnataka,Bangalore North,D.V. Sadananda Gowda,MALE,66.0,GENERAL,BJP,821934,2566,824500,2849250,0,
2341,Karnataka,Bangalore Rural,D.K. SURESH,MALE,52.0,GENERAL,INC,877712,546,878258,2497458,0,
2410,Karnataka,Bangalore South,TEJASVI SURYA,MALE,28.0,GENERAL,BJP,736605,2624,739229,2215489,0,
2388,Karnataka,Bangalore central,P. C. Mohan,MALE,55.0,GENERAL,BJP,601170,1683,602853,2204817,0,
7051,West Bengal,Bangaon,SHANTANU THAKUR,MALE,37.0,SC,BJP,685237,2385,687622,1704632,0,
929,Bihar,Banka,GIRIDHARI YADAV,MALE,58.0,GENERAL,JD(U),476948,840,477788,1699394,0,
7326,West Bengal,Bankura,DR. SUBHAS SARKAR,MALE,65.0,GENERAL,BJP,672202,3117,675319,1648906,0,
6676,Uttar Pradesh,Bansgaon,Kamlesh Paswan,MALE,42.0,SC,BJP,544434,2239,546673,1751258,0,
4843,Rajasthan,Banswara,KANAKMAL KATARA,MALE,62.0,ST,BJP,710684,1025,711709,1975368,0,
193,Andhra Pradesh,Bapatla ,NANDIGAM SURESH,MALE,42.0,SC,YSRCP,592250,6007,598257,1468671,0,0.0
6501,Uttar Pradesh,Barabanki,Upendra Singh Rawat,MALE,51.0,SC,BJP,535594,323,535917,1816830,0,
3835,Maharashtra,Baramati,Supriya Sule,FEMALE,49.0,GENERAL,NCP,683705,3009,686714,2114663,0,
1879,Jammu & Kashmir,Baramulla,MOHAMMAD AKBAR LONE,MALE,71.0,GENERAL,JKN,132969,457,133426,1317738,0,
7088,West Bengal,Barasat,Dr. Kakoli Ghoshdastidar,FEMALE,60.0,GENERAL,AITC,647819,625,648444,1718252,0,
7357,West Bengal,Bardhaman Durgapur,S.S AHLUWALIA,MALE,67.0,GENERAL,BJP,597450,926,598376,1733578,0,
7353,West Bengal,Bardhaman Purba,SUNIL KUMAR MONDAL,MALE,61.0,SC,AITC,640490,344,640834,1698089,0,
1533,Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,MALE,49.0,ST,BJP,740448,1825,742273,1826526,0,
6125,Uttar Pradesh,Bareilly,SANTOSH KUMAR GANGWAR,MALE,70.0,GENERAL,BJP,563533,1737,565270,1797655,0,
4143,Odisha,Bargarh,Suresh Pujari,MALE,59.0,GENERAL,BJP,577074,4171,581245,1596290,0,
4809,Rajasthan,Barmer,KAILASH CHOUDHARY,MALE,45.0,GENERAL,BJP,844104,2422,846526,1941231,0,
419,Assam,Barpeta,Abdul Khaleque,MALE,44.0,GENERAL,INC,643441,1732,645173,1685149,0,567513.0
7059,West Bengal,Barrackpore,ARJUN SINGH,MALE,57.0,GENERAL,BJP,471490,1504,472994,1436431,0,
7103,West Bengal,Basirhat,Nusrat Jahan Ruhi,FEMALE,28.0,GENERAL,AITC,781920,158,782078,1678357,0,
6605,Uttar Pradesh,Basti,HARISH CHANDRA ALIAS HARISH DWIVEDI,MALE,45.0,GENERAL,BJP,469214,1948,471162,1845223,0,
4547,Punjab,Bathinda,Harsimrat Kaur Badal,FEMALE,52.0,GENERAL,SAD,490811,2013,492824,1621671,0,
3917,Maharashtra,Beed,Pritam Gopinathrao Munde,FEMALE,36.0,GENERAL,BJP,675841,2334,678175,2045405,0,
888,Bihar,Begusarai,Giriraj Singh,MALE,66.0,GENERAL,BJP,687577,4616,692193,1958382,0,
1973,Karnataka,Belgaum,ANGADI SURESH CHANNABASAPPA,MALE,63.0,GENERAL,BJP,756986,5005,761991,1779350,0,
2118,Karnataka,Bellary,Y. DEVENDRAPPA,MALE,67.0,ST,BJP,614274,2114,616388,1751734,0,
4319,Odisha,Berhampur,CHANDRA SEKHAR SAHU,MALE,68.0,GENERAL,BJD,443145,698,443843,1502455,0,
6851,Uttar Pradesh,Bhadohi,RAMESH CHAND,MALE,44.0,GENERAL,BJP,508989,1040,510029,1942514,0,
4202,Odisha,Bhadrak ,MANJULATA MANDAL,FEMALE,42.0,SC,BJD,511772,1273,513045,1661661,0,
919,Bihar,Bhagalpur,AJAY KUMAR MANDAL,MALE,41.0,GENERAL,JD(U),616724,1530,618254,1823820,0,
3365,Maharashtra,Bhandara - gondiya,Sunil Baburao Mendhe,MALE,50.0,GENERAL,BJP,646152,4091,650243,1811556,0,
1513,Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,MALE,61.0,ST,BJP,635374,2421,637795,1564519,0,
1446,Gujarat,Bhavnagar,DR.BHARATIBEN DHIRUBHAI SHIYAL,FEMALE,55.0,GENERAL,BJP,655272,6001,661273,1768297,0,
4873,Rajasthan,Bhilwara,SUBHASH CHANDRA BAHERIA,MALE,62.0,GENERAL,BJP,936065,2095,938160,1997328,0,
3571,Maharashtra,Bhiwandi,KAPIL MORESHWAR PATIL,MALE,58.0,GENERAL,BJP,522032,1551,523583,1890100,0,
1752,Haryana,Bhiwani-Mahendragarh,Dharambir Singh S/o Bhale Ram,MALE,64.0,GENERAL,BJP,725725,10974,736699,1654317,0,
8261,Telangana,Bhongir ,Komati Reddy Venkat Reddy,MALE,55.0,GENERAL,INC,532031,764,532795,1628033,0,
4294,Odisha,Bhubaneswar,APARAJITA SARANGI,FEMALE,49.0,GENERAL,BJP,485793,1198,486991,1699678,0,
2080,Karnataka,Bidar,BHAGWANTH KHUBA,MALE,50.0,GENERAL,BJP,583833,1638,585471,1775095,0,
1136,Bihar,Bihar_Aurangabad,SUSHIL KUMAR SINGH,MALE,53.0,GENERAL,BJP,426116,1605,427721,1742883,0,
2046,Karnataka,Bijapur,JIGAJINAGI RAMESH CHANDAPPA,MALE,66.0,SC,BJP,633868,1999,635867,1797587,0,
5865,Uttar Pradesh,Bijnor,MALOOK NAGAR,MALE,53.0,GENERAL,BSP,559824,1221,561045,1664125,0,
4636,Rajasthan,Bikaner (SC),ARJUN RAM MEGHWAL,MALE,65.0,SC,BJP,655427,2316,657743,1851628,0,
7387,West Bengal,Birbhum,SATABDI ROY,FEMALE,49.0,GENERAL,AITC,653426,651,654077,1699219,0,
7341,West Bengal,Bishnupur,KHAN SAUMITRA,MALE,38.0,SC,BJP,654904,2115,657019,1627199,0,
4230,Odisha,Bolangir,Sangeeta Kumari Singh Deo,FEMALE,57.0,GENERAL,BJP,496237,1849,498086,1744446,0,
7376,West Bengal,Bolpur,ASIT KUMAR MAL,MALE,63.0,SC,AITC,698441,730,699171,1705073,0,
5989,Uttar Pradesh,Bulandshahr,BHOLA SINGH,MALE,42.0,SC,BJP,677196,4125,681321,1787925,0,
3251,Maharashtra,Buldhana,Jadhav Prataprao Ganpatrao,MALE,58.0,GENERAL,SHS,520537,1440,521977,1762918,0,
1063,Bihar,Buxar,Ashwini Kumar Choubey,MALE,66.0,GENERAL,BJP,468690,4363,473053,1829373,0,
8346,Chandigarh,CHANDIGARH,KIRRON KHER,FEMALE,66.0,GENERAL,BJP,230967,221,231188,646729,0,
8403,NCT OF Delhi,CHANDNI CHOWK                 ,HARSH VARDHAN,MALE,64.0,GENERAL,BJP,517939,1116,519055,1562283,0,
8185,Telangana,CHEVELLA,Dr. G. Ranjith Reddy,MALE,54.0,GENERAL,TRS,527878,270,528148,2443112,0,
2997,Madhya Pradesh,CHHINDWARA,NAKUL KAMAL NATH,MALE,44.0,GENERAL,INC,586551,754,587305,1514783,0,
2590,Kerala,Chalakudy,BENNY BEHANAN,MALE,66.0,GENERAL,INC,472935,509,473444,1230197,0,
2330,Karnataka,Chamarajanagar,V. SRINIVAS PRASAD,MALE,71.0,SC,BJP,567010,1527,568537,1686333,0,
6808,Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,MALE,62.0,GENERAL,BJP,508113,2620,510733,1756837,0,
3385,Maharashtra,Chandrapur,Balubhau alias Suresh Narayan Dhanorkar,MALE,43.0,GENERAL,INC,557550,1957,559507,1910188,0,
7618,Jharkhand,Chatra,SUNIL KUMAR SINGH,MALE,55.0,GENERAL,BJP,526205,1872,528077,1425218,0,
4934,Tamil Nadu,Chennai North,Dr. KALANIDHI VEERASWAMY,MALE,49.0,GENERAL,DMK,589034,1952,590986,1487681,0,
4958,Tamil Nadu,Chennai South,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,FEMALE,56.0,GENERAL,DMK,563240,1632,564872,1973533,0,
4998,Tamil Nadu,Chennai central,DAYANIDHI MARAN,MALE,52.0,GENERAL,DMK,447150,1761,448911,1332300,0,
1504,Gujarat,Chhota Udaipur,RATHVA GITABEN VAJESINGBHAI,FEMALE,47.0,ST,BJP,761472,2973,764445,1671253,0,
5487,Tamil Nadu,Chidambaram ,THIRUMAAVALAVAN THOL,MALE,56.0,SC,VCK,498401,1828,500229,1480222,0,
2437,Karnataka,Chikkballapur,B.N.Bache Gowda,MALE,76.0,GENERAL,BJP,744475,1437,745912,1808780,0,
1961,Karnataka,Chikkodi,ANNASAHEB SHANKAR JOLLE,MALE,55.0,GENERAL,BJP,641232,3785,645017,1612556,0,
2247,Karnataka,Chitradurga,A NARAYANASWAMY,MALE,62.0,SC,BJP,624200,1995,626195,1760633,0,
339,Andhra Pradesh,Chittoor ,N. REDDEPPA,MALE,68.0,SC,YSRCP,681325,5467,686792,1566499,0,138545.0
4850,Rajasthan,Chittorgarh,Chandra Prakash Joshi,MALE,43.0,GENERAL,BJP,979946,2996,982942,2015911,0,
4648,Rajasthan,Churu,RAHUL KASWAN,MALE,42.0,GENERAL,BJP,786573,6426,792999,2019104,0,
5324,Tamil Nadu,Coimbatore,NATARAJAN. P.R,MALE,68.0,GENERAL,CPIM,567741,3409,571150,1958904,0,
6887,West Bengal,Cooch behar,NISITH PRAMANIK,MALE,33.0,SC,BJP,728634,2960,731594,1814200,0,
5462,Tamil Nadu,Cuddalore ,T. R. V .S. RAMESH,MALE,48.0,GENERAL,DMK,519594,2566,522160,1364038,0,
4258,Odisha,Cuttack,BHARTRUHARI MAHTAB,MALE,62.0,GENERAL,BJD,524117,475,524592,1518996,0,
2820,Madhya Pradesh,DAMOH,PRAHALAD SINGH PATEL,MALE,59.0,GENERAL,BJP,704221,303,704524,1768777,0,
3083,Madhya Pradesh,DEWAS,MAHENDRA SINGH SOLANKY,MALE,35.0,SC,BJP,860708,1721,862429,1760503,0,
3124,Madhya Pradesh,DHAR,CHATTARSINGH DARBAR,MALE,65.0,ST,BJP,721025,1122,722147,1786151,0,
7492,Chhattisgarh,DURG,VIJAY BAGHEL,MALE,59.0,GENERAL,BJP,847445,1929,849374,1940269,0,
8391,Dadra & Nagar Haveli,Dadra And Nagar Haveli,DELKAR MOHANBHAI SANJIBHAI,MALE,56.0,ST,IND,90399,22,90421,250029,0,
1483,Gujarat,Dahod,JASHVANTSINH SUMANBHAI BHABHOR,MALE,52.0,ST,BJP,558977,2783,561760,1598939,0,
2232,Karnataka,Dakshina Kannada,NALIN KUMAR KATEEL,MALE,52.0,GENERAL,BJP,772754,1531,774285,1724976,0,
8396,Daman & Diu,Daman & diu,LALUBHAI BABUBHAI PATEL,MALE,63.0,GENERAL,BJP,37586,11,37597,121740,0,
731,Bihar,Darbhanga,Gopal Jee Thakur,MALE,49.0,GENERAL,BJP,585013,1655,586668,1654811,0,
6919,West Bengal,Darjeeling,RAJU BISTA,MALE,33.0,GENERAL,BJP,744657,5410,750067,1611317,0,
4746,Rajasthan,Dausa,Jaskaur Meena,FEMALE,71.0,ST,BJP,545481,3252,548733,1730289,0,
2175,Karnataka,Davanagere,G M SIDDESHWAR,MALE,67.0,GENERAL,BJP,651353,1643,652996,1633064,0,
6666,Uttar Pradesh,Deoria,RAMAPATI RAM TRIPATHI,MALE,69.0,GENERAL,BJP,577617,3027,580644,1754195,0,
7674,Jharkhand,Dhanbad,PASHUPATI NATH SINGH,MALE,69.0,GENERAL,BJP,824704,2530,827234,2072634,0,
5128,Tamil Nadu,Dharmapuri,DNV SENTHILKUMAR. S.,MALE,41.0,GENERAL,DMK,568310,6678,574988,1485804,0,
2140,Karnataka,Dharwad,Pralhad Joshi,MALE,56.0,GENERAL,BJP,682557,2280,684837,1727311,0,
6186,Uttar Pradesh,Dhaurahra,REKHA VERMA,FEMALE,45.0,GENERAL,BJP,512582,323,512905,1644674,0,
4219,Odisha,Dhenkanal,MAHESH SAHOO,MALE,58.0,SC,BJD,521954,930,522884,1504403,0,
396,Assam,Dhubri,BADRUDDIN AJMAL,MALE,63.0,GENERAL,AIUDF,718131,633,718764,1858566,0,567033.0
3195,Maharashtra,Dhule,Bhamre Subhash Ramrao,MALE,66.0,GENERAL,BJP,610268,3265,613533,1908173,0,
7134,West Bengal,Diamond harbour,ABHISHEK BANERJEE,MALE,31.0,GENERAL,AITC,790725,402,791127,1719190,0,
497,Assam,Dibrugarh,RAMESWAR TELI,MALE,48.0,GENERAL,BJP,657983,1600,659583,1314319,0,0.0
5353,Tamil Nadu,Dindigul,"VELUSAMY, P.",MALE,52.0,GENERAL,DMK,743813,2710,746523,1541881,0,
3533,Maharashtra,Dindori ,Dr. Bharati Pravin Pawar,FEMALE,40.0,ST,BJP,565452,2018,567470,1732936,0,
6594,Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,MALE,68.0,GENERAL,BJP,492145,108,492253,1885433,0,
7078,West Bengal,Dum dum,SOUGATA RAY,MALE,71.0,GENERAL,AITC,511707,355,512062,1566196,0,
7587,Jharkhand,Dumka,SUNIL SOREN,MALE,39.0,ST,BJP,483748,1175,484923,1397253,0,
8454,NCT OF Delhi,EAST DELHI                    ,GAUTAM GAMBHIR,MALE,37.0,GENERAL,BJP,695109,1047,696156,2039302,0,
117,Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,MALE,46.0,GENERAL,YSRCP,672834,3975,676809,1594950,0,0.0
2605,Kerala,Ernakulam,HIBI EDEN,MALE,35.0,GENERAL,INC,490854,409,491263,1245972,0,
5277,Tamil Nadu,Erode,GANESHAMURTHI A,MALE,72.0,GENERAL,DMK,558929,4662,563591,1462246,0,
6083,Uttar Pradesh,Etah,Rajveer Singh (Raju Bhaiya),MALE,58.0,GENERAL,BJP,544267,1081,545348,1621295,0,
6352,Uttar Pradesh,Etawah,Dr RAM SHANKAR KATHERIA,MALE,54.0,SC,BJP,519674,2445,522119,1757984,0,
6517,Uttar Pradesh,Faizabad,LALLU SINGH,MALE,64.0,GENERAL,BJP,528113,908,529021,1821785,0,
1800,Haryana,Faridabad,KRISHAN PAL,MALE,62.0,GENERAL,BJP,910787,2435,913222,2071816,0,
4505,Punjab,Faridkot,Mohammad Sadique,MALE,78.0,SC,INC,417936,1129,419065,1541971,0,
6341,Uttar Pradesh,Farrukhabad,Mukesh Rajput,MALE,50.0,GENERAL,BJP,567930,1950,569880,1708585,0,
4481,Punjab,Fatehgarh Sahib,AMAR SINGH,MALE,65.0,SC,INC,410723,928,411651,1502861,0,
6447,Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,FEMALE,52.0,GENERAL,BJP,563715,2325,566040,1839312,0,
6046,Uttar Pradesh,Fatehpur Sikri,RAJKUMAR CHAHAR,MALE,52.0,GENERAL,BJP,662794,4353,667147,1718837,0,
6063,Uttar Pradesh,Firozabad,Dr. Chandra Sen Jadon,MALE,68.0,GENERAL,BJP,494050,1769,495819,1790510,0,
4523,Punjab,Firozpur,SUKHBIR SINGH BADAL,MALE,56.0,GENERAL,SAD,631100,2327,633427,1618419,0,
2778,Madhya Pradesh,GUNA,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",MALE,43.0,GENERAL,BJP,610855,3194,614049,1675724,0,
2761,Madhya Pradesh,GWALIOR,VIVEK NARAYAN SHEJWALKAR,MALE,71.0,GENERAL,BJP,624801,2449,627250,2000744,0,
3378,Maharashtra,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,MALE,55.0,ST,BJP,517722,2246,519968,1581366,0,
1270,Gujarat,Gandhinagar,AMIT SHAH,MALE,54.0,GENERAL,BJP,889925,4699,894624,1945772,0,
4626,Rajasthan,Ganganagar,NIHAL CHAND,MALE,48.0,SC,BJP,892744,4433,897177,1943486,0,
7829,Uttarakhand,Garhwal,Tirath Singh Rawat,MALE,55.0,GENERAL,BJP,487613,19367,506980,1355796,0,
433,Assam,Gauhati,QUEEN OJA,FEMALE,67.0,GENERAL,BJP,1007156,1780,1008936,2181319,0,497456.0
5975,Uttar Pradesh,Gautam Buddha Nagar,Dr. MAHESH SHARMA,MALE,59.0,GENERAL,BJP,828164,2648,830812,2302960,0,
1147,Bihar,Gaya (SC),Vijay Kumar,MALE,55.0,SC,JD(U),465748,1259,467007,1704596,0,
7279,West Bengal,Ghatal,ADHIKARI DEEPAK (DEV),MALE,36.0,GENERAL,AITC,717407,552,717959,1800002,0,
5962,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,MALE,67.0,GENERAL,BJP,942576,1927,944503,2728978,0,
6794,Uttar Pradesh,Ghazipur,AFZAL ANSARI,MALE,65.0,GENERAL,BSP,564144,1938,566082,1881077,0,
6714,Uttar Pradesh,Ghosi,ATUL KUMAR SINGH,MALE,36.0,GENERAL,BSP,572459,1370,573829,1991651,0,
7657,Jharkhand,Giridih,Chandra Prakash Choudhary,MALE,50.0,GENERAL,AJSUP,646864,1413,648277,1649413,0,
7602,Jharkhand,Godda,Nishikant Dubey,MALE,47.0,GENERAL,BJP,635383,2227,637610,1716766,0,
6576,Uttar Pradesh,Gonda,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,MALE,53.0,GENERAL,BJP,507276,914,508190,1770248,0,
785,Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,MALE,61.0,SC,JD(U),562424,5726,568150,1839514,0,
6640,Uttar Pradesh,Gorakhpur,Ravindra Shyamnarayan Shukla alias Ravi Kishan,MALE,51.0,GENERAL,BJP,715010,2112,717122,1981197,0,
2059,Karnataka,Gulbarga,DR. UMESH G JADHAV,MALE,60.0,SC,BJP,617692,2500,620192,1945765,0,
157,Andhra Pradesh,Guntur,Jayadev Galla,MALE,53.0,GENERAL,TDP,586292,1626,587918,1706119,0,319031.0
4335,Punjab,Gurdaspur,SUNNY DEOL,MALE,59.0,GENERAL,BJP,551177,7542,558719,1595284,0,
1775,Haryana,Gurgaon,RAO INDERJIT SINGH,MALE,69.0,GENERAL,BJP,877241,4305,881546,2150728,0,
3012,Madhya Pradesh,HOSHANGABAD,UDAY PRATAP SINGH,MALE,54.0,GENERAL,BJP,876911,1016,877927,1706141,0,
846,Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,MALE,66.0,SC,LJP,539665,1645,541310,1823664,0,
6424,Uttar Pradesh,Hamirpur,KUNWAR PUSHPENDRA SINGH CHANDEL,MALE,45.0,GENERAL,BJP,574101,1021,575122,1749100,0,
6207,Uttar Pradesh,Hardoi,Jai Prakash,MALE,61.0,SC,BJP,567244,899,568143,1807119,0,
7856,Uttarakhand,Hardwar,Ramesh Pokhriyal 'Nishank',MALE,59.0,GENERAL,BJP,661050,4624,665674,1840738,0,
2225,Karnataka,Hassan,PRAJWAL REVANNA,MALE,28.0,GENERAL,JD(S),675512,1094,676606,1652999,0,
6013,Uttar Pradesh,Hathras,RAJVIR DILER,MALE,61.0,SC,BJP,679799,4500,684299,1864320,0,
4079,Maharashtra,Hatkanangle,Dhairyasheel Sambhajirao Mane,MALE,38.0,GENERAL,SHS,582776,3000,585776,1776555,0,
2130,Karnataka,Haveri,UDASI. S.C.,MALE,52.0,GENERAL,BJP,681147,2513,683660,1708510,0,
7797,Jharkhand,Hazaribagh,JAYANT SINHA,MALE,55.0,GENERAL,BJP,727359,1439,728798,1667465,0,
